,Zipcode,Sqrt_MSE
262,06426,151283.15341263998
263,06437,139351.0808103317
264,06443,154852.77408255465
265,06447,55786.086295114066
266,06450,12567.857150980246
267,06451,12044.007680827966
268,06457,54017.335176012064
269,06460,32533.499262498488
270,06461,46207.94191127896
271,06468,11343.702722428576
272,06470,140863.10305986626
273,06473,36564.8432526371
274,06475,64279.338408783835
275,06477,28737.19405554976
276,06478,62966.97475373237
277,06480,16751.270020063264
278,06482,52009.157515400664
279,06483,26320.273410421993
280,06484,23748.213697073093
281,06488,95050.09454118634
282,06489,12698.449426717609
283,06492,37144.44141343569
284,06498,294602.000721885
285,06511,32495.200649926788
286,06512,16437.10985703915
287,06513,19051.470257712484
288,06514,7170.515120715248
289,06516,15039.598185647168
290,06517,13894.284115219005
291,06518,18979.736738396787
292,06525,90042.00353442814
293,06604,36481.9930344819
294,06605,38696.857065901066
295,06606,15877.606477564243
296,06610,35633.71384366636
297,06611,82570.3546504716
298,06612,223941.0866190182
299,06614,7598.6886081973325
300,06615,57668.786146293794
301,06704,17033.058690624624
302,06705,17983.473803133187
303,06708,15405.443962799185
304,06712,24306.309357557107
305,06716,22621.15753895264
306,06751,101812.07462315536
307,06754,151350.80187916124
308,06756,28693.742038617365
309,06759,191150.92657778756
310,06762,25414.523584594284
311,06770,10390.843127580883
312,06776,56028.541774579106
313,06783,181735.91036068107
314,06784,87890.90252410689
315,06787,57925.74672380192
316,06790,30454.34023927854
317,06791,112214.86810441875
318,06795,24478.853469672806
319,06798,52164.88594327094
320,06801,25616.15132837173
321,06804,112770.7667804942
322,06807,120725.70177802877
323,06810,73669.53749068454
324,06811,20394.6679286094
325,06812,63765.53504309995
326,06820,209757.38408506106
327,06824,93782.95363412912
328,06825,35114.99923148946
329,06830,276293.9298016687
330,06831,121133.61763765925
331,06840,189783.1780130251
332,06850,100703.01521989469
333,06851,45176.895055846035
334,06853,472115.8085787859
335,06854,201164.11280835263
336,06870,670524.618113894
337,06877,76644.29098627812
338,06878,130734.05301525182
339,06880,466864.97659275495
340,06883,38524.42880053724
341,06890,458107.02511965233
342,06896,88022.97097094961
343,06897,115255.07627042111
344,06901,70979.42672147416
345,06902,86203.07515020795
346,06903,80714.57015145963
347,06905,36502.55211061268
348,06906,37958.15366360906
349,06907,33416.485764651574
350,07002,40634.06080813339
351,07003,11159.941291485393
352,07004,34440.575317403585
353,07005,110820.72116994463
354,07006,34332.760522133445
355,07008,18093.22417242717
356,07009,88498.56742493325
357,07010,46534.89304815381
358,07011,16133.337181144672
